Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Corcomroe Cistercian Abbey,http://monastic.ie/history/corcomroe-cisterican-abbey,353657000000,-9.0540065,53.1268421,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,-8.975399,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Marblehill,,,-7.9019326,55.176389,Donegal,Dunfanaghy,Ireland,Discovery Point
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,353420000000,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle"
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.990732595,53.96261007,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Kanturk Castle,https://www.castles.nl/kanturk-castle,353214000000,-8.9027299,52.164382,Cork,Banteer,Ireland,"Castle,Historic Houses and Castle"
Findlater Church,,+353(0)18378600,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Castlemorris - Pheasant loop,http://www.irishtrails.ie,,-7.278881549,52.4705016,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
The Manor Gardens,https://www.discoverireland.ie/Arts-Culture-Heritage/the-manor-gardens/48219,,-9.057847354,51.68778695,Cork,Dunmanway,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,-9.106741,52.3839379,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Ha'penny Bridge,,,-6.263081,53.346307,Dublin,Dublin City Centre,Ireland,Public Sculpture
Black Church Print Studio,http://blackchurchprint.ie/,+353(0)16773629,-6.264056,53.345635,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Art Gallery"
St Iberius Church,,,-6.4621424,52.3391991,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardgillan Castle and Victorian Gardens,https://ardgillancastle.ie,35318492212,-6.1616584,53.5817894,Dublin,Balbriggan,Ireland,"Covid Safety Charter,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Venue,Music,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Mollie Moo’s Pet Farm,https://molliemoos.ie/,353877000000,-7.37065,53.4699713,Westmeath,Mullingar,Ireland,Visitor Farm
The Chimera Gallery,http://www.chimera-gallery.com,353878000000,-7.3434993,53.5251272,Westmeath,Mullingar,Ireland,Art Gallery
River Inny,http://www.fishinginireland.info,35318842600,-7.323131051,53.66843186,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
James Connolly,http://www.talkingstatuesdublin.ie/statues/connolly/,,-6.254645628,53.34874522,Dublin,,Ireland,"Public Sculpture,Talking Statue"
Dodd's Rock Beach,,,-6.213459105,52.663357,Wexford,Courtown,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Valentia Slate,https://www.facebook.com/ValentiaSlate/,353862000000,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour"
Monasterboice High Cross and Round Tower,https://www.visitlouth.ie/explore-and-do/explore-louth/sacred-sites-louth/monasterboice-high-cross-and-round-tower.html,353420000000,-6.4177232,53.7777634,Louth,,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
Trá na gCeann (Silver Strand),,,-9.1247356,53.250939,Galway,Barna,Ireland,Discovery Point
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.353079203,52.90683053,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
James Larkin,http://www.talkingstatuesdublin.ie/statues/larkin/,,-6.259937704,53.34907981,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Inis Meáin (Inishmaan) Seaport,,,-9.5879368,53.0894286,Galway,,Ireland,Discovery Point
Granuaile Visitor Centre,https://www.irishtourist.com/things-to-do/granuaile-visitor-centre,3539866341,-9.809611,53.763985,Mayo,Louisburgh,Republic of Ireland,Museums and Attraction
Tír na Sí,http://www.tirnasi.com,353215000000,-8.3474797,52.0291372,Cork,Watergrasshill,Ireland,"Covid Safety Charter,Restaurant,Visitor Farm,Cafe,Food and Drink,Local Produce,Activity Operator"
Tours Of The Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194116,-6.25366,53.338393,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Tour"
Irish Whiskey Museum,http://www.irishwhiskeymuseum.ie,+353(0)15250970,-6.259589373,53.34424924,Dublin,,Republic of Ireland,"Activity Operator,Museums and Attraction,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour"
Fore Abbey,https://heritageireland.ie/visit/places-to-visit/fore-abbey/,353450000000,-7.227154,53.683924,Westmeath,Fore,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
O'Driscoll Garden Centre,https://www.facebook.com/ODriscoll-Garden-Centre-449803402105043/,35350421636,-7.7973804,52.6702947,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Whitefriar Street Church,http://www.carmelites.ie,+353(0)14758821,-6.266452,53.339835,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Killary Monastic Site,,,-6.546373,53.707926,Meath,Slane,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Glanteenassig Wood,http://www.coillteoutdoors.ie,+353(0)667163378,-10.02929126,52.20570913,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Cú Chulainn,http://www.talkingstatuesdublin.ie/statues/cu-chulainn/,,-6.260721,53.349349,Dublin,,Ireland,"Public Sculpture,Talking Statue,Cafe,Food and Drink,Food Shops,Shopping"
Irish Theatre Summer School,http://www.gaietyschool.com,+353(0)16799277,-6.26073,53.3464,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Activity Operator,Literary Ireland"
Moygara Castle,http://www.loughgaralakesandlegends.ie/lough-gara/moygara-castle,353719000000,-8.4751904,53.9718301,Sligo,,Ireland,"Castle,Historic Houses and Castle"
Angling at Jerpoint Park,http://jerpointpark.com/activities-events/fishing-2/,+353(0)866061449,-7.166836,52.512917,Kilkenny,Thomastown,Ireland,"Fishing,Angling,Activity Operator,Natural Landscape"
The Bay Garden,http://www.thebaygarden.com,353539000000,-6.443575,52.608613,Wexford,Camolin,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
St Multose Church,,353215000000,-8.525568,51.70585,Cork,Kinsale,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kerry International Dark-Sky Reserve,http://www.kerrydarkskytourism.com/,+353(0)877845688,-10.09249034,52.02430573,Kerry,,Ireland,"Learning,Photography,Natural Landscape"
Clonohill Gardens,https://www.gardensofireland.org/directory/31/,353579000000,-7.625490356,52.98564781,Laois,Coolrain,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
The Four Courts,http://www.courts.ie/,+353(0)18886000,-6.273526,53.34591,Dublin,,Republic of Ireland,Historic Houses and Castle
Inishbofin Heritage Museum & Gift Shop,https://www.facebook.com/InishbofinHeritageMuseum,353880000000,-10.206749,53.613395,Galway,Inishbofin,Ireland,Museums and Attraction
Duleek Abbey,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/duleek-abbey,353420000000,-6.4221752,53.6547501,Meath,Duleek,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cahore Beach ,,,-6.197159,52.5590215,Wexford,Cahore,Ireland,Beach
Crafts of Ireland,http://craftsofireland.ie,353868000000,-7.0886528,53.785466,Cavan,Virginia,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Art Gallery"
Slieve Bloom Mountains,,,-7.5672222,53.0933333,Laois,,Ireland,"Walking,Natural Landscape"
Dublin Art Life,http://dublinartlife.com,,-6.2603097,53.3498053,Dublin,Dublin City,Republic of Ireland,"Art Gallery,Museums and Attraction"
Aughris Head,,,-8.7570235,54.268943,Sligo,Templeboy,Ireland,Discovery Point
Droichead Charraig an Logáin (Carrickalegaun Bridge) .,,,-9.6563065,53.288173,Galway,Lettermore,Ireland,Discovery Point
Cuan an Daingin (Dingle Harbour),,,-10.278091,52.139049,Kerry,Dingle,Ireland,Embarkation Point
Stradbally Medieval Church,,3535841741,-7.460793487,52.13043387,Waterford,Stradbally,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dún An Óir,"http://www.megalithicireland.com/Dun%20an%20Oir,%20Smerwick.html",,-10.4149455,52.1901965,Kerry,Smerwick,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kilfane Church,,353568000000,-7.118503,52.555069,Kilkenny,Thomastown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Teach Mhuiris,https://www.gaothdobhair.ie/en/tourist-attractions-gweedore/teach-mhuiris,353750000000,-8.292346461,55.07528477,Donegal,Derrybeg,Ireland,"Castle,Historic Houses and Castle"
Portmagee Harbour,,,-10.365681,51.886058,Kerry,Portmagee,Ireland,Embarkation Point
Derrymore Beach,,+353(0)667121288,-9.842923401,52.24068427,Kerry,Derrymore,Republic of Ireland,Beach
The Ballinglen Museum of Art,http://www.ballinglenartsfoundation.org,3539643184,-9.3722177,54.2797399,Mayo,Ballycastle,Ireland,"Craft,Shopping,Photography,Learning,Art Gallery,Museums and Attraction"
Glasnevin Cemetery Museum,http://www.glasnevinmuseum.ie,35318826550,-6.2770874,53.37003,Dublin,Glasnevin,Ireland,"Walking,Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Public Sculpture,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Freshford Loop,http://www.trailkilkenny.ie,,-7.399741169,52.73450163,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Gurteen Beach,,,-9.960840282,53.37948911,Galway,Roundstone,Ireland,Beach
Fionn MacCool Loop,http://www.irishtrails.ie/Trail/Fionn-MacCool-Loop---Bonane-Beara/473/,,-9.536642639,51.81601273,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
North Tipperary Genealogy Centre,http://www.tipperarycoco.ie/heritage/genealogy-centre,3536733850,-8.200283933,52.86578066,Tipperary,Nenagh,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Bishop's Quarter ,,,-9.127942,53.1291281,Clare,Ballyvaughan,Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
National Print Museum,https://www.nationalprintmuseum.ie,35316603770,-6.2354701,53.3352901,Dublin,,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Tour"
Balbriggan Beach,,+353(0)18400077,-6.182411859,53.61201653,Dublin,Swords,Republic of Ireland,Beach
Killoughternane,,,-6.824711153,52.66285596,Carlow,Bagenalstown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Kerry Geopark,https://www.facebook.com/kerrygeopark,+353(0)877934663,-9.897747,51.837759,Kerry,Sneem,Republic of Ireland,"Walking,Natural Landscape,Activity Operator"
The Barony Of Erris Birdwatching,https://www.mayo-ireland.ie/en/towns-villages/bangor/bangor-activities-birdwatching.html,+353(0)9782292,-9.990733019,54.2237204,Mayo,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Natural Landscape"
Cappoquin House Gardens,https://www.cappoquinhouseandgardens.com,3535854290,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Historic Houses and Castle,Tour"
The Wexford Slobs and Wildfowl Reserve,https://www.wexfordwildfowlreserve.ie,353761000000,-6.4200302,52.3570279,Wexford,,Ireland,"Bird Watching,Nature and Wildlife,Learning,Photography,Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Natural Landscape"
Bushy Park,,+353(0)14900320,-6.292767969,53.30131952,Dublin,Terenure,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Inishcrone Pier (Enniscrone Pier),,,-9.096038,54.220128,Sligo,Enniscrone,Ireland,Discovery Point
The Irish Rock 'N' Roll Museum Experience,https://www.facebook.com/irishrockmuseum,+353(0)16351993,-6.2645993,53.344865,Dublin,,Ireland,"Covid Safety Charter,Activity Operator,Museums and Attraction,Traditionally Irish,Food Shops,Shopping,Tour"
Marlay Park,http://www.dlrcoco.ie/parks/marlay_information.html,+353(0)14937372,-6.276237376,53.27676505,Dublin,Rathfarnham,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping,Tour"
City Highlights Walking Tour- Dublin,http://sightwalkingdublin.com/,+353(0)862002480,-6.2604903,53.3396625,Dublin,,Ireland,"Gaa,Walking,Activity Operator,Tour"
Piltown - Mountain Grove Loop,http://www.trailkilkenny.ie,+353(0)567752111,-7.341113595,52.35373178,Kilkenny,,Ireland,"Walking,Natural Landscape"
Killala Quay,,,-9.2192835,54.213245,Mayo,Killala,Ireland,Discovery Point
Wexford Town Library,http://www.wexford.ie/library,+353(0)539121637,-6.463811,52.342114,Wexford,Wexford Town,Republic of Ireland,Literary Ireland
Brideweir Hous,https://www.brideweir.ie,3532536386,-8.1550475,52.0869699,Cork,Conna,Ireland,"Castle,Historic Houses and Castle"
Clasac,http://www.clasac.ie,+353(0)18363060,-6.230766,53.360651,Dublin,Clontarf,Republic of Ireland,"Learning,Museums and Attraction,Traditionally Irish,Venue,Music,Food Shops,Shopping"
Lassanroe Garden,https://www.discoverireland.ie/Arts-Culture-Heritage/lassanroe-garden/71154,3532822563,-9.311018382,51.58731379,Cork,Skibbereen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Rascals Brewing Company,https://rascalsbrewing.com,35315382051,-6.3240651,53.3361014,Dublin,Inchicore,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Activity Operator,Museums and Attraction,Pubs and Bar,Food Shops,Shopping,Tour"
Samphire Island,,,-9.859530615,52.27970839,Kerry,Fenit,Republic of Ireland,Discovery Point
Locaboat Ireland,https://www.locaboat.com/en/boating-holidays/ireland/shannon/,353720000000,-8.099788373,53.94423816,Leitrim,,Republic of Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Carrowteige - Children of Lir Loop,http://www.irishtrails.ie/Trail/Carrowteige--Children-of-Lir--Loop/141/,,-9.813638063,54.31261173,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Killiney  Hill,http://www.dlrcoco.ie/parks/killiney.html,+353(0)12047275,-6.107273729,53.2703464,Dublin,Killiney,Ireland,"Photography,Learning,Walking,Natural Landscape,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194249,-6.254129,53.339374,Dublin,,Republic of Ireland,"Historic Houses and Castle,Tour"
Bá Fhionntrá (Fintragh Bay),,,-8.4882206,54.635294,Donegal,,Ireland,Discovery Point
Kilkenny Library Local Studies,http://kilkennylibrary.ie/eng/our_services/local_studies,+353(0)567794160,-7.246596988,52.65542983,Kilkenny,Kilkenny City,Republic of Ireland,"Learning,Tracing Your Ancestors,Literary Ireland"
Arklow Beach,,,-6.126780942,52.81185983,Wicklow,Arklow,Ireland,Beach
IMI Conference Centre & Residence,http://www.imi.ie/,+353(0)12078400,-6.231596,53.275966,Dublin,Sandyford,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink,Food Shops,Shopping"
Tullahought Kilmacoliver Loop Walk,http://www.trailkilkenny.ie,,-7.373104348,52.42256284,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Waterloo Round Tower,http://www.irishstones.org/place.aspx?p=1232,,-8.573712,51.954691,Cork,Blarney,Republic of Ireland,Historic Houses and Castle
Cappagh Pier,,,-9.498637,52.628546,Clare,Kilrush,Ireland,Discovery Point
Garryvoe Beach,https://www.ringofcork.ie/listings/garryvoe-beach/,+353(0)214613432,-7.99973,51.865968,Cork,Garryvoe,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Rumley's Open Farm,https://rumleysfarm.ie/,353215000000,-8.5365005,51.83483762,Cork,,Ireland,"Walking,Zip Lining,Activity Operator,Visitor Farm,Cafe,Food and Drink,Food Shops,Shopping"
"Imaginosity, Dublin Children’s Museum",http://www.imaginosity.ie,+353(0)12176130,-6.216709,53.277382,Dublin,Sandyford,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops"
The Irish Pewtermill Centre,,+353(0)879090044,-6.809467632,52.98488874,Kildare,Moone,Republic of Ireland,Museums and Attraction
Carlow Town Walk - Slí na Sláinte,https://carlowtourism.com/carlow-town-walk/,353599000000,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Tig Bhric & West Kerry Brewery,https://westkerrybrewery.ie,353877000000,-10.3863964,52.1704021,Kerry,Dingle Peninsula,Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar,Tour"
Mountain Stage,,,-10.034603,52.035924,Kerry,Glenbeigh,Ireland,Discovery Point
The Browne Clayton Monument,https://www.igs.ie/conservation/project/browne-clayton-monument,353539000000,-6.8049493,52.3599232,Wexford,,Ireland,Public Sculpture
Hill of Slane,,353420000000,-6.5401217,53.7176713,Meath,Slane,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
William Smith O'Brien Monument,http://www.visitdublin.com,+353(0)16057700,-6.259341,53.348576,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Bective Abbey,http://monastic.ie/history/bective-cistercian-abbey,,-6.7028943,53.5824741,Meath,Ballina,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kilcooley Abbey,"http://www.megalithicireland.com/Kilcooley%20Abbey,%20Tipperary.html",,-7.5713094,52.6707686,Tipperary,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,353647000000,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Kilbrittain Whale,,+353(0)862567084,-8.6917337,51.6735577,Cork,Kilbrittain,Ireland,Natural Landscape
Salterbridge House Gardens,http://www.salterbridgehouseandgarden.com/,3535854952,-7.8804767,52.1489749,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden"
Carrownisky Strand,,,-9.893226,53.735383,Mayo,Louisburgh,Ireland,Discovery Point
Burren Art & Craft Fair,https://www.facebook.com/burrencrafts,353868000000,-9.150688235,53.11695957,Clare,Ballyvaughan,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Lackagh Museum and Heritage Centre,https://www.lackaghmuseum.ie,353878000000,-8.8910537,53.3695037,Galway,,Ireland,"Covid Safety Charter,Museums and Attraction"
Alix Gardners Cookery School,http://www.dublincookery.com,+353(0)16681553,-6.245333,53.329644,Dublin,Ballsbridge,Republic of Ireland,"Cooking,Cookery,Learning,Activity Operator,Historic Houses and Castle,Artisan,Food and Drink,Restaurant,Local Produce"
Lynch's Castle,http://galwaycity.galway-ireland.ie/lynchs-castle.htm,,-9.0522862,53.2731658,Galway,,Ireland,"Castle,Historic Houses and Castle"
Lackan Strand,,,-9.2574486,54.274154,Mayo,,Ireland,Discovery Point
Inis Cathaigh - Scattery Island Discovery Point,,,-9.518447007,52.61440511,Clare,Kilrush,Ireland,Discovery Point
Abbey Road Gardens,https://www.facebook.com/waterfordgardentrail/,353872000000,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardens,Garden"
Lackeen Castle Lorrha,"http://www.megalithicireland.com/Lackeen%20Castle,%20Tipperary.html",353863000000,-8.0735866,53.0887302,Tipperary,,Ireland,"Castle,Historic Houses and Castle"
Ballyhist Garden,https://tipperary.com/listings/ballyhist-garden/,353527000000,-7.872028223,52.31529252,Tipperary,Ardfinnan,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Black Castle Wicklow,"http://www.megalithicireland.com/Black%20Castle,%20Wicklow.html",,-6.030845,52.9811225,Wicklow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
George Bernard Shaw,http://www.talkingstatuesdublin.ie/statues/george-bernard-shaw/,,-6.25248666,53.34092467,Dublin,,Ireland,"Covid Safety Charter,Public Sculpture,Talking Statue"
City Hall Cork,https://www.corkcity.ie/en/,353215000000,-8.464807,51.8965976,Cork,Cork City,Ireland,"Historic Houses and Castle,Venue,Comedy,Music"
Doughmore Bay,,,-9.504238,52.745639,Clare,Doonbeg,Ireland,Discovery Point
Irish Film Institute,http://ifi.ie/archive,35316793477,-6.264943,53.344624,Dublin,,Republic of Ireland,"Movies,Cinema,Venue,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Food Shops,Shopping"
St Michan's Church,,35318724154,-6.275396,53.347458,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ros Goill (Rossguill Peninsula),,,-7.8449062,55.227669,Donegal,Downings,Ireland,Discovery Point
Monksgrange Garden & Norman Gallery,http://www.monksgrangegarden.com,353539000000,-6.7837777,52.5178443,Wexford,,Ireland,"Walking,Gardens,Garden"
Ballybunion North Beach,https://www.blueflag.global/show-site?siteId=6641,353667000000,-9.681072438,52.50507167,Kerry,Ballybunion,Republic of Ireland,Beach
Primrose Hill,,+353(0)16280373,-6.450529,53.353489,Dublin,Lucan,Ireland,"Castle,Historic Houses and Castle"
Baginbun Beach,,,-6.929462,52.123762,Wexford,,Republic of Ireland,Beach
Father Murphy Centre,https://www.facebook.com/Fr-Murphy-Centre-Boolavogue-315611758499163,353539000000,-6.4107808,52.5485902,Wexford,Boolavogue,Ireland,Museums and Attraction
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,353879000000,-6.351277,53.762114,Louth,Drogheda,Ireland,"Craft,Shopping,Learning,Art Gallery,Activity Operator"
Maynooth Campus Conference & Accommodation,http://www.maynoothcampus.com,+353(0)17086400,-6.592757857,53.37649551,Kildare,Maynooth,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink"
Temple Cronan Early Christian Church,,353657000000,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Carnivan Beach,,,-6.830589669,52.17620032,Wexford,,Republic of Ireland,Beach
Leinster House,http://www.oireachtas.ie/parliament/visitsevents/,+353(0)16183271,-6.254252,53.340122,Dublin,Dublin City,Republic of Ireland,"Historic Houses and Castle,Tour"
Biddy's Cottage,https://www.biddyscottage.com,353864000000,-6.096538524,53.27655982,Dublin,Dalkey,Ireland,"Craft,Shopping,Activity Operator,Historic Houses and Castle,Local Produce,Food and Drink,Restaurant,Food Shops"
Tory Hill - Frochans Loop,http://www.trailkilkenny.ie,,-7.17550686,52.36787812,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
Wood Quay,http://www.visitdublin.com/dublin-a-to-z/details/wood-quay/49834/,+353(0)14370969,-6.26098,53.343599,Dublin,,Republic of Ireland,"Public Sculpture,Ruins,Historic Houses and Castle"
Inis Bó Finne - Inishbofin Island - Donegal,,,-8.170623921,55.1678058,Donegal,Inishbofin Island,Ireland,Discovery Point
